id,Shipper_ID,Shipper_Name,Tracking_ID,Order_Granular_Status,Delivery_Type_Name,Service_Type,Service_Level,Parcel_Size_ID,Original_Weight,Create_Time,Delivery_Date,Gender,L1_Name,To_Postcode, Actual_delivery_fee, cod_collected, cod_fee, insured_value, insurance_fee, SST , Total_Charge,Country,created_at,updated_at
,690929,1,NVMY34535000011002,1,1,1,1,1,1,5/22/2024 16:28,4/17/2024,1,Perak,34300,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000011006,1,1,1,1,1,1,5/23/2024 16:28,4/17/2024,1,Johor,81200,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000010990,1,1,1,1,1,1,5/24/2024 16:28,4/17/2024,1,Perak,34900,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000011003,1,1,1,1,1,1,5/25/2024 16:28,4/17/2024,1,Kedah,6000,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000011005,1,1,1,1,1,1,5/26/2024 16:28,4/17/2024,1,Kelantan,15350,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000010980,1,1,1,1,1,1,5/27/2024 16:28,4/17/2024,1,Pahang,28600,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000011021,1,1,1,1,1,1,5/28/2024 16:28,4/17/2024,0,Pulau Pinang,13700,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000010920,1,1,1,1,1,1,5/29/2024 16:28,4/17/2024,0,Negeri Sembilan,71600,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000010997,1,1,1,1,1,1,5/30/2024 16:28,4/17/2024,1,Kedah,6600,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000011029,1,1,1,1,1,1,5/31/2024 16:28,4/17/2024,1,Kedah,6000,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000010998,1,1,1,1,1,1,6/1/2024 16:28,4/17/2024,1,Kedah,6600,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000011080,1,1,1,1,1,5,6/2/2024 16:28,4/17/2024,0,Kelantan,16450,10.2, -   , -   , -   , -   ,0.61,10.81,1,,
,690929,1,NVMY34535000010991,1,1,1,1,1,1,6/3/2024 16:28,4/17/2024,0,Kedah,6010,7, -   , -   , -   , -   ,0.42,7.42,1,,
